lr,n_epochs,batch_size,beta,nr,nt,AE
1.00E-03,300,32,1.00E-03,5,10000,CNN-VAE
1.00E-03,1000,32,1.00E-03,5,10000,CNN-VAE
1.00E-05,300,32,1.00E-03,5,10000,CNN-VAE
5.00E-04,300,32,1.00E-03,5,10000,CNN-VAE
1.00E-04,300,32,1.00E-03,5,10000,CNN-VAE
1.00E-03,300,64,1.00E-03,5,10000,CNN-VAE
1.00E-03,300,128,1.00E-03,5,10000,CNN-VAE
1.00E-03,300,256,1.00E-03,5,10000,CNN-VAE
1.00E-03,300,32,1.00E-04,5,10000,CNN-VAE
1.00E-03,300,32,5.00E-04,5,10000,CNN-VAE
1.00E-03,300,32,5.00E-03,5,10000,CNN-VAE
1.00E-03,300,32,1.00E-02,5,10000,CNN-VAE
1.00E-03,300,32,1.00E-03,2,10000,CNN-VAE
1.00E-03,300,32,1.00E-03,3,10000,CNN-VAE
1.00E-03,300,32,1.00E-03,10,10000,CNN-VAE
1.00E-03,300,32,1.00E-03,20,10000,CNN-VAE
1.00E-03,300,32,1.00E-03,50,10000,CNN-VAE
1.00E-03,300,32,1.00E-03,5,725,CNN-VAE
1.00E-03,300,32,1.00E-03,5,1450,CNN-VAE
1.00E-03,300,32,1.00E-03,5,4300,CNN-VAE
1.00E-03,300,32,1.00E-03,5,7150,CNN-VAE
0.00E+00,1000,32,1.00E-03,5,10000,CNN-VAE
1.00E-03,300,32,1.00E-03,5,10000,C-CNN-AE
1.00E-03,1000,32,1.00E-03,5,10000,C-CNN-AE
1.00E-05,300,32,1.00E-03,5,10000,C-CNN-AE
5.00E-04,300,32,1.00E-03,5,10000,C-CNN-AE
1.00E-04,300,32,1.00E-03,5,10000,C-CNN-AE
1.00E-03,300,64,1.00E-03,5,10000,C-CNN-AE
1.00E-03,300,128,1.00E-03,5,10000,C-CNN-AE
1.00E-03,300,256,1.00E-03,5,10000,C-CNN-AE
1.00E-03,300,32,1.00E-04,5,10000,C-CNN-AE
1.00E-03,300,32,5.00E-04,5,10000,C-CNN-AE
1.00E-03,300,32,5.00E-03,5,10000,C-CNN-AE
1.00E-03,300,32,1.00E-02,5,10000,C-CNN-AE
1.00E-03,300,32,1.00E-03,2,10000,C-CNN-AE
1.00E-03,300,32,1.00E-03,3,10000,C-CNN-AE
1.00E-03,300,32,1.00E-03,10,10000,C-CNN-AE
1.00E-03,300,32,1.00E-03,20,10000,C-CNN-AE
1.00E-03,300,32,1.00E-03,50,10000,C-CNN-AE
1.00E-03,300,32,1.00E-03,5,725,C-CNN-AE
1.00E-03,300,32,1.00E-03,5,1450,C-CNN-AE
1.00E-03,300,32,1.00E-03,5,4300,C-CNN-AE
1.00E-03,300,32,1.00E-03,5,7150,C-CNN-AE
0.00E+00,1000,32,1.00E-03,5,10000,C-CNN-AE
