lr,n_epochs,batch_size,beta,nr,nt,AE
1.00E-05,500,256,5.00E-03,2,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,3,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,5,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,10,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,15,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,20,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,30,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,50,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,75,10000,CNN-VAE
1.00E-05,500,64,0,2,10000,C-CNN-AE
1.00E-05,500,64,0,3,10000,C-CNN-AE
1.00E-05,500,64,0,5,10000,C-CNN-AE
1.00E-05,500,64,0,7,10000,C-CNN-AE
1.00E-05,500,64,0,10,10000,C-CNN-AE
1.00E-05,500,64,0,15,10000,C-CNN-AE
1.00E-05,500,64,0,20,10000,C-CNN-AE
1.00E-05,500,64,0,25,10000,C-CNN-AE
