lr,n_epochs,batch_size,beta,nr,nt,AE
5.00E-04,1000,256,5.00E-03,2,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,3,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,5,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,10,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,15,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,20,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,30,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,50,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,70,10000,CNN-VAE
5.00E-04,1000,128,0,2,10000,C-CNN-AE
5.00E-04,1000,128,0,3,10000,C-CNN-AE
5.00E-04,1000,128,0,5,10000,C-CNN-AE
5.00E-04,1000,128,0,7,10000,C-CNN-AE
5.00E-04,1000,128,0,10,10000,C-CNN-AE
5.00E-04,1000,128,0,15,10000,C-CNN-AE
5.00E-04,1000,128,0,20,10000,C-CNN-AE
5.00E-04,1000,128,0,25,10000,C-CNN-AE
