lr,n_epochs,batch_size,beta,nr,nt,AE,Train,Val,flag_control
1.00E-05,500,256,5.00E-03,15,10000,CNN-VAE,70,1,1
1.00E-05,500,64,0,15,10000,C-CNN-AE,70,1,1
1.00E-05,500,256,5.00E-03,15,10000,CNN-VAE,80,1,1
1.00E-05,500,64,0,15,10000,C-CNN-AE,80,1,1
1.00E-05,500,256,5.00E-03,15,10000,CNN-VAE,10,1,1
1.00E-05,500,64,0,15,10000,C-CNN-AE,10,1,1
1.00E-05,500,256,5.00E-03,15,10000,CNN-VAE,70,2,1
1.00E-05,500,64,0,15,10000,C-CNN-AE,70,2,1
1.00E-05,500,256,5.00E-03,15,10000,CNN-VAE,80,2,1
1.00E-05,500,64,0,15,10000,C-CNN-AE,80,2,1
1.00E-05,500,256,5.00E-03,15,10000,CNN-VAE,10,2,1
1.00E-05,500,64,0,15,10000,C-CNN-AE,10,2,1
1.00E-05,500,256,5.00E-03,15,10000,CNN-VAE,70,1,0
1.00E-05,500,64,0,15,10000,C-CNN-AE,70,1,0
