lr,n_epochs,batch_size,beta,nr,nt,AE
5.00E-04,1000,256,5.00E-03,2,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,3,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,5,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,10,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,15,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,20,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,30,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,50,10000,CNN-VAE
5.00E-04,1000,256,5.00E-03,70,10000,CNN-VAE
5.00E-04,1000,256,1.00E-04,2,10000,CNN-VAE
5.00E-04,1000,256,1.00E-04,3,10000,CNN-VAE
5.00E-04,1000,256,1.00E-04,5,10000,CNN-VAE
5.00E-04,1000,256,1.00E-04,10,10000,CNN-VAE
5.00E-04,1000,256,1.00E-04,15,10000,CNN-VAE
5.00E-04,1000,256,1.00E-04,20,10000,CNN-VAE
5.00E-04,1000,256,1.00E-04,30,10000,CNN-VAE
5.00E-04,1000,256,1.00E-04,50,10000,CNN-VAE
5.00E-04,1000,256,1.00E-04,70,10000,CNN-VAE
5.00E-04,1000,256,5.00E-04,2,10000,CNN-VAE
5.00E-04,1000,256,5.00E-04,3,10000,CNN-VAE
5.00E-04,1000,256,5.00E-04,5,10000,CNN-VAE
5.00E-04,1000,256,5.00E-04,10,10000,CNN-VAE
5.00E-04,1000,256,5.00E-04,15,10000,CNN-VAE
5.00E-04,1000,256,5.00E-04,20,10000,CNN-VAE
5.00E-04,1000,256,5.00E-04,30,10000,CNN-VAE
5.00E-04,1000,256,5.00E-04,50,10000,CNN-VAE
5.00E-04,1000,256,5.00E-04,70,10000,CNN-VAE
5.00E-04,1000,256,1.00E-03,2,10000,CNN-VAE
5.00E-04,1000,256,1.00E-03,3,10000,CNN-VAE
5.00E-04,1000,256,1.00E-03,5,10000,CNN-VAE
5.00E-04,1000,256,1.00E-03,10,10000,CNN-VAE
5.00E-04,1000,256,1.00E-03,15,10000,CNN-VAE
5.00E-04,1000,256,1.00E-03,20,10000,CNN-VAE
5.00E-04,1000,256,1.00E-03,30,10000,CNN-VAE
5.00E-04,1000,256,1.00E-03,50,10000,CNN-VAE
5.00E-04,1000,256,1.00E-03,70,10000,CNN-VAE
5.00E-04,1000,256,1.00E-02,2,10000,CNN-VAE
5.00E-04,1000,256,1.00E-02,3,10000,CNN-VAE
5.00E-04,1000,256,1.00E-02,5,10000,CNN-VAE
5.00E-04,1000,256,1.00E-02,10,10000,CNN-VAE
5.00E-04,1000,256,1.00E-02,15,10000,CNN-VAE
5.00E-04,1000,256,1.00E-02,20,10000,CNN-VAE
5.00E-04,1000,256,1.00E-02,30,10000,CNN-VAE
5.00E-04,1000,256,1.00E-02,50,10000,CNN-VAE
5.00E-04,1000,256,1.00E-02,70,10000,CNN-VAE
