lr,n_epochs,batch_size,beta,nr,nt,AE,Val,save,load
1.00E-05,500,64,0,20,10000,C-CNN-AE,12,0,1
1.00E-05,500,64,0,20,10000,C-CNN-AE,23,0,1
1.00E-05,500,64,0,20,10000,C-CNN-AE,34,0,1
1.00E-05,500,64,0,20,10000,C-CNN-AE,45,0,1
1.00E-05,500,64,0,20,10000,C-CNN-AE,56,0,1
1.00E-05,500,64,0,20,10000,C-CNN-AE,67,0,1
1.00E-05,500,256,4.00E-04,30,10000,CNN-VAE,12,0,1
1.00E-05,500,256,4.00E-04,30,10000,CNN-VAE,23,0,1
1.00E-05,500,256,4.00E-04,30,10000,CNN-VAE,34,0,1
1.00E-05,500,256,4.00E-04,30,10000,CNN-VAE,45,0,1
1.00E-05,500,256,4.00E-04,30,10000,CNN-VAE,56,0,1
1.00E-05,500,256,4.00E-04,30,10000,CNN-VAE,67,0,1
