lr,n_epochs,batch_size,beta,nr,nt,AE
1.00E-05,500,256,4.00E-04,2,10000,CNN-VAE
1.00E-05,500,256,4.00E-04,3,10000,CNN-VAE
1.00E-05,500,256,4.00E-04,5,10000,CNN-VAE
1.00E-05,500,256,4.00E-04,10,10000,CNN-VAE
1.00E-05,500,256,4.00E-04,15,10000,CNN-VAE
1.00E-05,500,256,4.00E-04,20,10000,CNN-VAE
1.00E-05,500,256,4.00E-04,30,10000,CNN-VAE
1.00E-05,500,256,4.00E-04,50,10000,CNN-VAE
1.00E-05,500,256,4.00E-04,75,10000,CNN-VAE
1.00E-05,500,64,0,2,10000,C-CNN-AE
1.00E-05,500,64,0,3,10000,C-CNN-AE
1.00E-05,500,64,0,5,10000,C-CNN-AE
1.00E-05,500,64,0,7,10000,C-CNN-AE
1.00E-05,500,64,0,10,10000,C-CNN-AE
1.00E-05,500,64,0,15,10000,C-CNN-AE
1.00E-05,500,64,0,20,10000,C-CNN-AE
1.00E-05,500,64,0,25,10000,C-CNN-AE
1.00E-05,500,64,0,50,10000,C-CNN-AE
