lr,n_epochs,batch_size,beta,nr,nt,AE
5.00E-04,500,128,5.00E-04,2,10000,CNN-VAE
5.00E-04,500,128,5.00E-04,3,10000,CNN-VAE
5.00E-04,500,128,5.00E-04,5,10000,CNN-VAE
5.00E-04,500,128,5.00E-04,10,10000,CNN-VAE
5.00E-04,500,128,5.00E-04,15,10000,CNN-VAE
5.00E-04,500,128,5.00E-04,20,10000,CNN-VAE
5.00E-04,500,128,5.00E-04,30,10000,CNN-VAE
5.00E-04,500,128,5.00E-04,50,10000,CNN-VAE
5.00E-04,500,128,5.00E-04,70,10000,CNN-VAE
1.00E-04,500,128,0,2,10000,C-CNN-AE
1.00E-04,500,128,0,3,10000,C-CNN-AE
1.00E-04,500,128,0,5,10000,C-CNN-AE
1.00E-04,500,128,0,7,10000,C-CNN-AE
1.00E-04,500,128,0,10,10000,C-CNN-AE
1.00E-04,500,128,0,15,10000,C-CNN-AE
1.00E-04,500,128,0,20,10000,C-CNN-AE
1.00E-04,500,128,0,25,10000,C-CNN-AE
1.00E-04,500,128,0,50,10000,C-CNN-AE
