lr,n_epochs,batch_size,beta,nr,nt,AE
1.00E-05,500,256,5.00E-03,2,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,3,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,5,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,10,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,15,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,20,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,30,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,50,10000,CNN-VAE
1.00E-05,500,256,5.00E-03,75,10000,CNN-VAE
1.00E-05,500,256,1.00E-03,2,10000,CNN-VAE
1.00E-05,500,256,1.00E-03,3,10000,CNN-VAE
1.00E-05,500,256,1.00E-03,5,10000,CNN-VAE
1.00E-05,500,256,1.00E-03,10,10000,CNN-VAE
1.00E-05,500,256,1.00E-03,15,10000,CNN-VAE
1.00E-05,500,256,1.00E-03,20,10000,CNN-VAE
1.00E-05,500,256,1.00E-03,30,10000,CNN-VAE
1.00E-05,500,256,1.00E-03,50,10000,CNN-VAE
1.00E-05,500,256,1.00E-03,75,10000,CNN-VAE
1.00E-05,500,256,5.00E-04,2,10000,CNN-VAE
1.00E-05,500,256,5.00E-04,3,10000,CNN-VAE
1.00E-05,500,256,5.00E-04,5,10000,CNN-VAE
1.00E-05,500,256,5.00E-04,10,10000,CNN-VAE
1.00E-05,500,256,5.00E-04,15,10000,CNN-VAE
1.00E-05,500,256,5.00E-04,20,10000,CNN-VAE
1.00E-05,500,256,5.00E-04,30,10000,CNN-VAE
1.00E-05,500,256,5.00E-04,50,10000,CNN-VAE
1.00E-05,500,256,5.00E-04,75,10000,CNN-VAE
1.00E-05,500,256,1.00E-04,2,10000,CNN-VAE
1.00E-05,500,256,1.00E-04,3,10000,CNN-VAE
1.00E-05,500,256,1.00E-04,5,10000,CNN-VAE
1.00E-05,500,256,1.00E-04,10,10000,CNN-VAE
1.00E-05,500,256,1.00E-04,15,10000,CNN-VAE
1.00E-05,500,256,1.00E-04,20,10000,CNN-VAE
1.00E-05,500,256,1.00E-04,30,10000,CNN-VAE
1.00E-05,500,256,1.00E-04,50,10000,CNN-VAE
1.00E-05,500,256,1.00E-04,75,10000,CNN-VAE
1.00E-05,500,256,1.00E-02,2,10000,CNN-VAE
1.00E-05,500,256,1.00E-02,3,10000,CNN-VAE
1.00E-05,500,256,1.00E-02,5,10000,CNN-VAE
1.00E-05,500,256,1.00E-02,10,10000,CNN-VAE
1.00E-05,500,256,1.00E-02,15,10000,CNN-VAE
1.00E-05,500,256,1.00E-02,20,10000,CNN-VAE
1.00E-05,500,256,1.00E-02,30,10000,CNN-VAE
1.00E-05,500,256,1.00E-02,50,10000,CNN-VAE
1.00E-05,500,256,1.00E-02,75,10000,CNN-VAE
