lr,n_epochs,batch_size,beta,nr,nt,AE,save,load,train,struct,Val,flow_control
1.00E-05,500,64,0,5,725,C-CNN-AE,0,0,70,complex,1,1
1.00E-05,500,64,0,5,1450,C-CNN-AE,0,0,70,complex,1,1
1.00E-05,500,64,0,5,4300,C-CNN-AE,0,0,70,complex,1,1
1.00E-05,500,64,0,5,7150,C-CNN-AE,0,0,70,complex,1,1
1.00E-05,500,64,0,5,10000,C-CNN-AE,0,0,70,complex,1,1
1.00E-05,500,64,0,5,725,C-CNN-AE,0,0,10,complex,1,1
1.00E-05,500,64,0,5,1450,C-CNN-AE,0,0,10,complex,1,1
1.00E-05,500,64,0,5,4300,C-CNN-AE,0,0,10,complex,1,1
1.00E-05,500,64,0,5,7150,C-CNN-AE,0,0,10,complex,1,1
1.00E-05,500,64,0,5,10000,C-CNN-AE,0,0,10,complex,1,1
1.00E-05,500,64,0,5,725,C-CNN-AE,0,0,30,complex,1,1
1.00E-05,500,64,0,5,1450,C-CNN-AE,0,0,30,complex,1,1
1.00E-05,500,64,0,5,4300,C-CNN-AE,0,0,30,complex,1,1
1.00E-05,500,64,0,5,7150,C-CNN-AE,0,0,30,complex,1,1
1.00E-05,500,64,0,5,10000,C-CNN-AE,0,0,30,complex,1,1
1.00E-05,500,64,0,5,725,C-CNN-AE,0,0,50,complex,1,1
1.00E-05,500,64,0,5,1450,C-CNN-AE,0,0,50,complex,1,1
1.00E-05,500,64,0,5,4300,C-CNN-AE,0,0,50,complex,1,1
1.00E-05,500,64,0,5,7150,C-CNN-AE,0,0,50,complex,1,1
1.00E-05,500,64,0,5,10000,C-CNN-AE,0,0,50,complex,1,1
1.00E-05,500,64,0,5,725,C-CNN-AE,0,0,10,complex,1,0
1.00E-05,500,64,0,5,1450,C-CNN-AE,0,0,10,complex,1,0
1.00E-05,500,64,0,5,4300,C-CNN-AE,0,0,10,complex,1,0
1.00E-05,500,64,0,5,7150,C-CNN-AE,0,0,10,complex,1,0
1.00E-05,500,64,0,5,10000,C-CNN-AE,0,0,10,complex,1,0
1.00E-05,500,64,0,5,725,C-CNN-AE,0,0,20,complex,1,0
1.00E-05,500,64,0,5,1450,C-CNN-AE,0,0,20,complex,1,0
1.00E-05,500,64,0,5,4300,C-CNN-AE,0,0,20,complex,1,0
1.00E-05,500,64,0,5,7150,C-CNN-AE,0,0,20,complex,1,0
1.00E-05,500,64,0,5,10000,C-CNN-AE,0,0,20,complex,1,0
1.00E-05,500,64,0,5,725,C-CNN-AE,0,0,30,complex,1,0
1.00E-05,500,64,0,5,1450,C-CNN-AE,0,0,30,complex,1,0
1.00E-05,500,64,0,5,4300,C-CNN-AE,0,0,30,complex,1,0
1.00E-05,500,64,0,5,7150,C-CNN-AE,0,0,30,complex,1,0
1.00E-05,500,64,0,5,10000,C-CNN-AE,0,0,30,complex,1,0
