lr,n_epochs,batch_size,beta,nr,nt,AE,save,load,train,reg,drop,struct,Val
1.00E-03,500,32,0,5,10000,C-CNN-AE,0,0,1,5.00E-05,0.2,medium,1
1.00E-03,500,32,0,5,10000,C-CNN-AE,0,0,1,0,0.2,medium,1
1.00E-03,500,32,0,5,10000,C-CNN-AE,0,0,1,0,0,medium,1
1.00E-03,500,32,0,5,10000,C-CNN-AE,0,0,1,0,0.2,complex,1
1.00E-03,500,32,0,5,10000,C-CNN-AE,0,0,1,5.00E-05,0.2,simple,1
1.00E-03,500,32,0,5,10000,C-CNN-AE,0,0,1,5.00E-05,0.2,medium,1
1.00E-03,500,32,0,5,10000,C-CNN-AE,0,0,1,0,0,medium,1
1.00E-03,500,32,0,5,10000,C-CNN-AE,0,0,1,5.00E-05,0.2,complex,1
1.00E-03,500,32,0,5,10000,C-CNN-AE,0,0,1,0,0.2,complex,1
1.00E-03,1000,32,0,5,10000,C-CNN-AE,0,0,1,0,0,complex,1
1.00E-05,500,32,0,5,10000,C-CNN-AE,0,0,1,0,0,complex,1
5.00E-04,500,32,0,5,10000,C-CNN-AE,0,0,1,0,0,complex,1
1.00E-04,500,32,0,5,10000,C-CNN-AE,0,0,1,0,0,complex,1
1.00E-03,500,64,0,5,10000,C-CNN-AE,0,0,1,0,0,complex,1
1.00E-03,500,128,0,5,10000,C-CNN-AE,0,0,1,0,0,complex,1
1.00E-03,500,256,0,5,10000,C-CNN-AE,0,0,1,0,0,complex,1
1.00E-03,500,32,0,5,10000,C-CNN-AE,0,0,1,0,0,complex,1
1.00E-03,500,32,0,2,10000,C-CNN-AE,0,0,1,0,0,complex,1
1.00E-03,500,32,0,3,10000,C-CNN-AE,0,0,1,0,0,complex,1
1.00E-03,500,32,0,10,10000,C-CNN-AE,0,0,1,0,0,complex,1
1.00E-03,500,32,0,20,10000,C-CNN-AE,0,0,1,0,0,complex,1
1.00E-03,500,32,0,50,10000,C-CNN-AE,0,0,1,0,0,complex,1
1.00E-03,500,32,0,5,725,C-CNN-AE,0,0,1,0,0,complex,1
1.00E-03,500,32,0,5,1450,C-CNN-AE,0,0,1,0,0,complex,1
1.00E-03,500,32,0,5,4300,C-CNN-AE,0,0,1,0,0,complex,1
1.00E-03,500,32,0,5,7150,C-CNN-AE,0,0,1,0,0,complex,1
0.00E+00,1000,32,0,5,10000,C-CNN-AE,0,0,1,0,0,complex,1
